      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2013-12-07 20:42:11,    239,     179.77,           0,       1.00,        1.33,        0.00,        1.34,     239,       0
2013-12-07 20:45:11,    591,     179.99,           0,       1.00,        3.28,        0.00,        3.30,     591,       0
2013-12-07 20:48:11,    111,     179.99,           0,       1.00,        0.62,        0.00,        0.62,     111,       0
2013-12-07 20:51:11,    595,     180.00,           0,       1.00,        3.31,        0.00,        3.32,     595,       0
2013-12-07 21:07:59,    134,     104.62,           0,       1.05,        1.28,        0.00,        1.34,     134,       0
2013-12-07 21:07:59,      0,       0.15,           0,       -nan,        0.00,        0.00,        0.00,       0,       0
2013-12-07 21:07:59,      0,       0.11,           0,       -nan,        0.00,        0.00,        0.00,       0,       0
2013-12-07 21:07:59,      0,       0.13,           0,       -nan,        0.00,        0.00,        0.00,       0,       0
2013-12-07 21:08:37,    284,      14.98,           0,       3.37,       18.96,        0.00,       63.90,     322,       0
2013-12-07 21:09:41,   1857,      59.72,           0,       2.54,       31.10,        0.00,       78.91,    1857,       0
2013-12-07 21:11:34,    255,      24.47,           0,       1.36,       10.42,        0.00,       14.18,     255,       0
2013-12-07 21:12:28,     31,      51.52,           0,       1.04,        0.60,        0.00,        0.63,      31,       0
2013-12-07 21:18:29,   2282,      59.46,           0,       1.95,       38.38,        0.00,       74.74,    2282,       0
